Regiao,Soma de Consumo,Ano
Centro-Oeste,19219727.62299999,2004
Centro-Oeste,20243029.417999983,2005
Centro-Oeste,20691808.681999993,2006
Centro-Oeste,22031338,2007
Centro-Oeste,23652399,2008
Centro-Oeste,24896382.65,2009
Centro-Oeste,26310480,2010
Centro-Oeste,28204522,2011
Centro-Oeste,30717728,2012
Centro-Oeste,33017397.178999998,2013
Centro-Oeste,34644470.103,2014
Centro-Oeste,34511964.53,2015
Centro-Oeste,34900452.2,2016
Centro-Oeste,35749023.97800001,2017
Centro-Oeste,36818456.00900002,2018
Centro-Oeste,38399553.08499999,2019
Centro-Oeste,38908670.434,2020
Centro-Oeste,39779510.59300002,2021
Centro-Oeste,40617410.05099999,2022
Centro-Oeste,42672978.35000002,2023
Centro-Oeste,45223101.894000016,2024
Nordeste,53786182.347,2004
Nordeste,56904897.510000005,2005
Nordeste,59060389.662,2006
Nordeste,62367048,2007
Nordeste,65103194.89,2008
Nordeste,65243764,2009
Nordeste,71196945,2010
Nordeste,71913805,2011
Nordeste,75610402.00999999,2012
Nordeste,79731403.80000001,2013
Nordeste,80852793.59300001,2014
Nordeste,79306103.09200001,2015
Nordeste,79580855.705,2016
Nordeste,79804635.736,2017
Nordeste,80719755.28400004,2018
Nordeste,83221057.26300003,2019
Nordeste,81320553.56599997,2020
Nordeste,87033154.15799995,2021
Nordeste,88309485.01500003,2022
Nordeste,95084276.15499999,2023
Nordeste,100163332.695,2024
Norte,19791913.281999998,2004
Norte,20564512.331000004,2005
Norte,21551965.500000004,2006
Norte,22850074,2007
Norte,23873082,2008
Norte,24082999,2009
Norte,26221714.362,2010
Norte,27759136.857,2011
Norte,29048752.774,2012
Norte,30195681.625,2013
Norte,32363651,2014
Norte,33709263.366,2015
Norte,34264101.6,2016
Norte,34509369,2017
Norte,32436359.655000005,2018
Norte,33114958.602999996,2019
Norte,34719970.16199997,2020
Norte,36610436.080000006,2021
Norte,38056523.94999997,2022
Norte,41079505.462000005,2023
Norte,43897071.70499998,2024
Sudeste,183127377.70300004,2004
Sudeste,189733237.66099992,2005
Sudeste,195131300.16200003,2006
Sudeste,206786211,2007
Sudeste,209943764,2008
Sudeste,204554965.7,2009
Sudeste,222004702,2010
Sudeste,230668383,2011
Sudeste,235258881,2012
Sudeste,240104803,2013
Sudeste,242357152.3,2014
Sudeste,235775407.45400003,2015
Sudeste,230999043.94,2016
Sudeste,232414730.87,2017
Sudeste,238794414.26900008,2018
Sudeste,240132213.70699993,2019
Sudeste,233066038.18899998,2020
Sudeste,246557634.08199996,2021
Sudeste,247963443.05800003,2022
Sudeste,255255030.01500008,2023
Sudeste,268629933.74100006,2024
Sul,55943729.902,2004
Sul,57885595.29799998,2005
Sul,59693846.241000004,2006
Sul,62996383,2007
Sul,65899959,2008
Sul,65528269,2009
Sul,69933915.875,2010
Sul,74469787,2011
Sul,77490628.11300002,2012
Sul,80392671,2013
Sul,84818504,2014
Sul,82220125.34899999,2015
Sul,82727381.47099999,2016
Sul,85310727.28,2017
Sul,87522812.875,2018
Sul,89731194.65399995,2019
Sul,88636573.41499998,2020
Sul,92730059.43299997,2021
Sul,94649362.34599997,2022
Sul,97890835.45199995,2023
Sul,103802338.96800001,2024
